,Unnamed: 0,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs,edge_distance
207,207,1402 Fairview St,0,0,37.849122,-122.279603,0,1650,1.93,4.025,5,0,2.70567918021
208,208,1403 Carleton St,0,0,37.85963,-122.282247,0,1410,1.514,4.125,7,1,1.89770260361
209,209,1403 Hawthorne Terrace,0,0,37.882406,-122.261896,0,1150,0.723,4.175,0,1,0.840813682034
210,210,1405 Spring Way,0,1,37.882534,-122.263745,0,1995,0.756,4.025,4,0,0.875132866592
211,211,1405 Spruce St,0,0,37.882247,-122.265858,0,2460,0.782,4.025,6,1,0.903635724415
212,212,1406 Henry St,0,0,37.881309,-122.271231,0,2307,0.904,3.85,8,0,1.10944652278
213,213,1408 Allston Way,0,0,37.866646,-122.283243,0,1320,1.353,4.075,0,0,1.57838701592
214,214,1409 Carleton St,0,0,37.859677,-122.281749,0,1795,1.489,4.125,7,1,1.8617872618
215,215,141 Forest Ln,0,0,37.895778,-122.261214,0,1117,1.635,4.025,3,0,2.32798027521
216,216,1410 Parker St,0,0,37.859943,-122.282291,0,4100,1.503,4.125,7,1,1.87759643296
217,217,1411 Alcatraz Ave,0,0,37.847606,-122.278718,0,1785,1.991,4.0,5,1,2.82701485712
218,218,1411 Kains Ave,0,0,37.878542,-122.293941,0,2300,1.936,4.15,6,0,2.58145251078
219,219,1412 66th St,0,0,37.849904,-122.279557,0,2250,1.884,4.025,5,0,2.62590766244
220,220,1412 9th St,0,0,37.877737,-122.29753,0,1703,2.117,4.15,6,0,2.85650918927
221,221,1413 Alcatraz Ave,0,0,37.848025,-122.27896,0,1785,1.973,4.0,5,1,2.79268040025
222,222,1415.7th Street,1,2,37.877489,-122.29994,750,1050,2.243,3.975,1,2,3.05456559604
223,223,1416 8th St,0,0,37.877309,-122.29873,0,1100,2.176,4.05,3,0,2.94661680973
224,224,1418 Spruce St,0,0,37.881721,-122.266406,0,2600,0.764,4.025,4,0,0.872919784932
225,225,142 Caldecott Ln,2,3,37.853983,-122.222793,1648,1165,2.363,4.175,1,0,3.47526965229
226,226,1420 Acton Crescent,0,0,37.867758,-122.283268,0,1720,1.335,3.95,0,0,1.54704895663
227,227,1420 Addison St,0,0,37.868705,-122.282801,0,1942,1.297,4.125,1,2,1.48551606028
228,228,1420 Neilson St,0,0,37.878738,-122.290398,0,1975,1.752,4.125,6,0,2.29757403869
229,229,1421 Arch St,0,0,37.88196,-122.264638,0,2400,0.736,4.125,4,0,0.834544589038
230,230,1421 McGee Ave,0,0,37.879477,-122.279341,0,1421,1.199,4.025,3,0,1.49445447778
